section,material,unit,quantity,emission_factor,ghg_emission,location,date
EAF,Purchased Electricity,kWh,60000,0.8,48000.0,Central Steel Plant,2023-01-01
Rolling Mill,Purchased Electricity,kWh,25000,0.8,20000.0,Central Steel Plant,2023-01-01
Pellet Plant,Purchased Electricity,kWh,10000,0.6,6000.0,Central Steel Plant,2023-01-01
"Utilities (WDU, etc)",Imported Steam,GJ,15000,0.2,3000.0,Central Steel Plant,2023-01-01
Admin Buildings,Purchased Electricity,kWh,5000,0.85,4250.0,Central Steel Plant,2023-01-01
Power Plant,Electricity Consumption,kWh,8199450,0.71,5821609.5,Central Steel Plant,2023-01-01
EAF,Purchased Electricity,kWh,62000,0.8,49600.0,Central Steel Plant,2023-04-01
Rolling Mill,Purchased Electricity,kWh,26000,0.8,20800.0,Central Steel Plant,2023-04-01
Pellet Plant,Purchased Electricity,kWh,11000,0.6,6600.0,Central Steel Plant,2023-04-01
"Utilities (WDU, etc)",Imported Steam,GJ,14500,0.2,2900.0,Central Steel Plant,2023-04-01
Admin Buildings,Purchased Electricity,kWh,5200,0.85,4420.0,Central Steel Plant,2023-04-01
Power Plant,Electricity Consumption,kWh,8300000,0.71,5893000.0,Central Steel Plant,2023-04-01
EAF,Purchased Electricity,kWh,58000,0.8,46400.0,Central Steel Plant,2023-07-01
Rolling Mill,Purchased Electricity,kWh,24000,0.8,19200.0,Central Steel Plant,2023-07-01
Pellet Plant,Purchased Electricity,kWh,9500,0.6,5700.0,Central Steel Plant,2023-07-01
"Utilities (WDU, etc)",Imported Steam,GJ,15500,0.2,3100.0,Central Steel Plant,2023-07-01
Admin Buildings,Purchased Electricity,kWh,4800,0.85,4080.0,Central Steel Plant,2023-07-01
Power Plant,Electricity Consumption,kWh,8100000,0.71,5751000.0,Central Steel Plant,2023-07-01
